問題識別碼,描述,狀態,嚴重性,故事點,專案路徑,位置種類,路徑,行,資料行,事件識別碼,說明連結,組件名稱,組件版本,組件公開金鑰,程式碼片段
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\GoogleTranslatorProvider.cs,89,12,T:System.Uri,,,,,"return new Uri($""https://translate.google.com/?sl=auto&tl={targetLanguage}&text={Uri.EscapeDataString(query.SourceText)}&op=translate"");"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\GoogleTranslatorProvider.cs,89,12,T:System.Uri,,,,,"return new Uri($""https://translate.google.com/?sl=auto&tl={targetLanguage}&text={Uri.EscapeDataString(query.SourceText)}&op=translate"");"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\GoogleTranslatorProvider.cs,89,12,M:System.Uri.#ctor(System.String),,,,,"return new Uri($""https://translate.google.com/?sl=auto&tl={targetLanguage}&text={Uri.EscapeDataString(query.SourceText)}&op=translate"");"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\GoogleTranslatorProvider.cs,76,12,T:System.Uri,,,,,"return new TranslationResponse(                  ProviderId: Id,                  ProviderDisplayName: DisplayName,                  SourceLanguage: payload.Src ?? query.SourceLanguage.Id,                  TargetLanguage: query.TargetLanguage.Id,                  SourceText: query.SourceText,                  Entries: entries,                  WebUri: BuildWebUri(query));"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\GoogleTranslatorProvider.cs,42,12,T:System.Net.Http.HttpContent,,,,,string content = response.Content.ReadAsStringAsync(cancellationToken).ConfigureAwait(false).GetAwaiter().GetResult();
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\GoogleTranslatorProvider.cs,35,12,T:System.Uri,,,,,"string requestUri =                  $""https://translate.googleapis.com/translate_a/single?client=gtx&sl={sourceLanguage}&tl={targetLanguage}&hl=en&dt=t&dt=bd&dj=1&q={Uri.EscapeDataString(query.SourceText)}"";"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\ITranslatorProvider.cs,16,8,T:System.Uri,,,,, Uri BuildWebUri(ParsedTranslationQuery query)
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\BingTranslatorProvider.cs,152,16,T:System.Net.Http.HttpContent,,,,,string html = response.Content.ReadAsStringAsync(cancellationToken).ConfigureAwait(false).GetAwaiter().GetResult();
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\BingTranslatorProvider.cs,124,12,T:System.Uri,,,,,"return new TranslationResponse(                  ProviderId: Id,                  ProviderDisplayName: DisplayName,                  SourceLanguage: first.DetectedLanguage?.Language ?? query.SourceLanguage.Id,                  TargetLanguage: query.TargetLanguage.Id,                  SourceText: query.SourceText,                  Entries: entries,                  WebUri: BuildWebUri(query));"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\BingTranslatorProvider.cs,87,12,T:System.Net.Http.HttpContent,,,,,string content = response.Content.ReadAsStringAsync(cancellationToken).ConfigureAwait(false).GetAwaiter().GetResult();
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\BingTranslatorProvider.cs,73,12,T:System.Net.Http.HttpContent,,,,,"using HttpRequestMessage request = new(HttpMethod.Post, endpoint)              {                  Content = new FormUrlEncodedContent(form),              };"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\BingTranslatorProvider.cs,43,8,T:System.Uri,,,,,public Uri BuildWebUri(ParsedTranslationQuery query)
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\BingTranslatorProvider.cs,46,12,T:System.Uri,,,,,"return new Uri($""https://www.bing.com/translator?from=auto-detect&to={targetLanguage}&text={Uri.EscapeDataString(query.SourceText)}"");"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\BingTranslatorProvider.cs,46,12,T:System.Uri,,,,,"return new Uri($""https://www.bing.com/translator?from=auto-detect&to={targetLanguage}&text={Uri.EscapeDataString(query.SourceText)}"");"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\BingTranslatorProvider.cs,46,12,M:System.Uri.#ctor(System.String),,,,,"return new Uri($""https://www.bing.com/translator?from=auto-detect&to={targetLanguage}&text={Uri.EscapeDataString(query.SourceText)}"");"
NuGet.0001,NuGet 套件不相容,Active,Mandatory,1,CmdPalTranslator\CmdPalTranslator.csproj,File,CmdPalTranslator\CmdPalTranslator.csproj,,,Microsoft.CommandPalette.Extensions 0.9.260303001,,,,,"Microsoft.CommandPalette.Extensions, 0.9.260303001  建議：  找不到支援的版本"
NuGet.0001,NuGet 套件不相容,Active,Mandatory,1,CmdPalTranslator\CmdPalTranslator.csproj,File,CmdPalTranslator\CmdPalTranslator.csproj,,,Shmuelie.WinRTServer 2.2.1,,,,,"Shmuelie.WinRTServer, 2.2.1  建議：  Shmuelie.WinRTServer, 1.3.1"
Project.0002,必須變更專案的目標架構,Active,Mandatory,1,CmdPalTranslator\CmdPalTranslator.csproj,File,CmdPalTranslator\CmdPalTranslator.csproj,,,,,,,,目前的目標架構: net9.0-windows10.0.26100.0 建議的目標架構: net10.0-windows
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator\CmdPalTranslator.csproj,File,CmdPalTranslator\Pages\CmdPalTranslatorPage.cs,207,12,T:System.Uri,,,,,"moreCommands.Add(new CommandContextItem(new OpenUrlCommand(response.WebUri.ToString()))              {                  Title = $""Open in {response.ProviderDisplayName}"",              });"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator\CmdPalTranslator.csproj,File,CmdPalTranslator\Pages\CmdPalTranslatorPage.cs,205,8,T:System.Uri,,,,,"if (response.WebUri is not null)          {              moreCommands.Add(new CommandContextItem(new OpenUrlCommand(response.WebUri.ToString()))              {                  Title = $""Open in {response.ProviderDisplayName}"",              });          }"
